variables = "X", "Y", "Area Fraction"
zone N=1360, E=2612, F=FEPOINT, ET=TRIANGLE

  14	  25	0.0512
  29	   0	0.0486
  43	  25	0.0543
 942	  25	0.0533
 493	 950	0.0771
 464	 900	0.0829
 957	 500	0.0716
 957	  50	0.0579
 957	   0	0.0400
 478	 925	0.0924
 449	 925	0.0743
 319	 850	0.0986
 913	  25	0.0567
 942	 475	0.0729
 971	 475	0.0705
 957	 450	0.0717
  14	 775	0.0561
  29	 800	0.0562
   0	 800	0.0456
  43	 775	0.0695
  29	 750	0.0714
 333	 875	0.0981
 478	 475	0.0581
 348	 850	0.1105
 957	 750	0.0708
 957	 800	0.0579
 957	 950	0.0614
 739	 925	0.0805
 768	 925	0.0800
 507	 975	0.0657
 681	 425	0.1305
 667	 450	0.1248
 493	 350	0.1148
 478	 325	0.1295
 522	 450	0.0676
 536	 475	0.0652
  29	  50	0.0610
   0	  50	0.0584
 246	 175	0.1286
 942	 425	0.0724
 841	 400	0.1186
 594	 225	0.1443
 609	 250	0.1462
   0	 850	0.0553
   0	 950	0.0511
 449	 975	0.0724
 261	 950	0.0676
 522	 500	0.0614
 275	 925	0.0795
 304	 875	0.1005
 899	 850	0.1033
 884	 875	0.1043
 855	 875	0.0967
 841	 850	0.1076
 841	 950	0.0719
 957	 850	0.0708
 971	 875	0.0680
 710	 925	0.0862
 725	 900	0.0914
 913	 925	0.0881
 942	 975	0.0571
 928	 950	0.0671
 899	 950	0.0590
 913	 975	0.0524
 928	 500	0.0738
 957	 550	0.0696
 928	 450	0.0795
 826	 875	0.1000
 942	 675	0.0710
 536	 975	0.0543
 594	 975	0.0457
 580	 950	0.0600
 522	 950	0.0676
 565	 375	0.0990
 507	 425	0.0752
 536	 425	0.0729
 652	 475	0.1076
 681	 475	0.1176
 696	 450	0.1357
 507	 325	0.1152
 493	 300	0.1414
 159	 125	0.0933
 348	   0	0.0438
 362	  25	0.0490
 290	   0	0.0533
 304	  25	0.0533
  58	  50	0.0695
 319	 150	0.1052
 232	 300	0.1490
 971	  75	0.0651
 812	 100	0.0919
 623	  75	0.0738
 638	 100	0.0905
 609	   0	0.0571
 594	  25	0.0552
 594	  75	0.0733
 638	   0	0.0543
 652	  25	0.0629
 638	  50	0.0724
 609	  50	0.0614
 667	 100	0.0948
 783	 100	0.0900
 754	 100	0.0833
 768	 125	0.0962
 710	 425	0.1390
 855	 375	0.1090
 826	 425	0.1205
 797	 375	0.1271
 812	 350	0.1229
 710	 225	0.1476
 797	 225	0.1267
 681	 175	0.1186
 667	 200	0.1386
 652	 175	0.1224
 754	 250	0.1476
 783	 250	0.1305
 696	 250	0.1348
  14	 975	0.0586
  14	 875	0.0518
  29	 900	0.0590
   0	 900	0.0538
  29	 850	0.0600
  43	 875	0.0681
  58	 900	0.0667
  87	 900	0.0714
  14	 725	0.0516
  43	 725	0.0710
 130	 675	0.1071
 174	 750	0.1248
  72	 775	0.0762
 464	 950	0.0767
 435	 950	0.0690
 406	 900	0.0848
 246	 975	0.0552
 290	 950	0.0671
 304	 975	0.0638
 319	 900	0.0871
 261	 750	0.1462
 493	 700	0.1281
 362	 875	0.1038
 377	 850	0.1081
 377	 900	0.0890
 391	 875	0.0933
 507	 925	0.0957
 638	 900	0.0971
 449	 775	0.1505
 536	 775	0.1467
 507	 525	0.0486
 435	 500	0.0719
 348	 450	0.1067
 348	 350	0.1033
 319	 350	0.1210
 478	 425	0.0838
 319	 450	0.1224
 333	 475	0.1205
 174	 950	0.0700
 203	 950	0.0662
 232	 450	0.1424
 246	 425	0.1376
   0	 450	0.0457
  14	 425	0.0510
  29	 450	0.0643
  14	 225	0.0503
   0	 250	0.0339
  29	 250	0.0567
 913	 825	0.0910
 928	 850	0.0786
 826	 925	0.0829
 812	 950	0.0719
 783	 950	0.0771
 739	 975	0.0686
 725	 950	0.0843
 754	 950	0.0776
 768	 875	0.0914
 754	 900	0.0852
 913	 875	0.0862
 942	 875	0.0624
 870	 950	0.0638
 855	 925	0.0748
 884	 925	0.0733
 957	 900	0.0670
 942	 925	0.0743
 971	 925	0.0569
 928	 900	0.0786
 855	 975	0.0657
 826	 975	0.0590
 913	 525	0.0795
 841	 600	0.1081
 812	 600	0.1219
 812	 850	0.1105
 797	 875	0.0938
 942	 775	0.0648
 899	 700	0.0829
 899	 800	0.0919
 928	 800	0.0814
 884	 725	0.0986
 725	 450	0.1348
 739	 425	0.1400
 609	 950	0.0552
 536	 375	0.0876
 551	 400	0.0862
 594	 375	0.0943
 667	 500	0.1133
 681	 525	0.1271
 652	 525	0.1148
 580	 400	0.0890
 638	 450	0.0986
 652	 425	0.1076
 565	 475	0.0767
 638	 500	0.0957
 623	 525	0.0914
 319	 300	0.1348
 304	 325	0.1371
 449	 325	0.1233
 464	 300	0.1371
 522	 300	0.1367
 261	   0	0.0552
 217	  25	0.0571
 203	  50	0.0686
 203	   0	0.0619
 232	  50	0.0648
 217	 125	0.0990
 203	 100	0.0957
 217	  75	0.0814
 188	  75	0.0733
 377	   0	0.0438
 348	  50	0.0738
 333	  25	0.0505
 275	  25	0.0624
 261	  50	0.0681
 290	  50	0.0743
 116	   0	0.0486
 130	  25	0.0610
  72	  25	0.0595
  87	  50	0.0643
  58	   0	0.0514
 130	  75	0.0790
 116	 100	0.0933
 159	  25	0.0690
 174	   0	0.0629
   0	 150	0.0578
 232	 200	0.1405
 348	 150	0.0938
 333	 125	0.1043
 304	 125	0.1119
 290	 100	0.0862
  72	 275	0.0876
 942	  75	0.0686
 928	   0	0.0476
